timestamp,vin,lat,long,coolant_temp,vapor_pressure,cm_voltage,torque_percent,oxygen_rate,voltage,status
3/18/2021 11:36,PAI-Vehicle,35.64446324,139.7919273,11377,72.9,6889,172,48.2,56.2,Normal
3/18/2021 11:37,PAI-Vehicle,35.65248411,139.7842026,4238,84.2,6694.7,311,39.3,60.9,Normal
3/18/2021 11:38,PAI-Vehicle,35.66032984,139.7766066,15061,75.7,7063,183,43.6,95.6,Normal
3/18/2021 11:39,PAI-Vehicle,35.66664073,139.7704697,30353,209.8,21782.9,2009,164.6,269.1,Abnormal
3/18/2021 11:40,PAI-Vehicle,35.66838398,139.7683668,49858,233,21360.3,5,187.7,173.1,Abnormal
3/18/2021 11:41,PAI-Vehicle,35.67127769,139.771843,6488,89.3,7006.3,154,53.8,99.7,Normal
3/18/2021 11:42,PAI-Vehicle,35.67430204,139.7725832,17255,82.7,7104.6,221,41.4,65.4,Normal
3/18/2021 11:43,PAI-Vehicle,35.67803219,139.7748578,11399,85.6,6959.1,90,56.1,84.2,Normal
3/18/2021 11:44,PAI-Vehicle,35.67696894,139.7775507,13373,84.4,7654.7,107,47.1,75.9,Normal
3/18/2021 11:45,PAI-Vehicle,35.6760887,139.7797501,4075,83.7,7327.7,23,36.9,67.9,Abnormal
3/18/2021 11:46,PAI-Vehicle,35.67499927,139.7815955,31339,187,18020.3,456,141.3,178.3,Abnormal
3/18/2021 11:47,PAI-Vehicle,35.6729947,139.7834516,10045,78.5,7045.1,48,40.5,62.5,Abnormal
3/18/2021 11:48,PAI-Vehicle,35.67180064,139.7843742,51936,225.5,16982.7,284,151.1,210.9,Abnormal
3/18/2021 11:49,PAI-Vehicle,35.66895924,139.7851145,14636,77,6921.5,24,61.4,84.5,Abnormal
3/18/2021 11:50,PAI-Vehicle,35.66800047,139.7853935,9328,83.9,7317.6,72,58.5,95.3,Normal
3/18/2021 11:51,PAI-Vehicle,35.66630079,139.7872388,8631,81,7261.6,7,45.4,95,Normal
3/18/2021 11:52,PAI-Vehicle,35.66443546,139.7847605,9271,84.3,6635.7,114,44.7,46.4,Normal
3/18/2021 11:53,PAI-Vehicle,35.66284902,139.7865522,7883,76,6415.8,409,61.8,91.4,Normal
3/18/2021 11:54,PAI-Vehicle,35.66156765,139.7878289,4003,78,7774.4,158,53.2,89.2,Normal
3/18/2021 11:55,PAI-Vehicle,35.65879562,139.7882044,11557,74.5,7078.9,14,59.2,64.8,Normal
3/18/2021 11:56,PAI-Vehicle,35.65856026,139.7865093,7933,85.3,7440.7,372,46.2,73.2,Normal
3/18/2021 11:57,PAI-Vehicle,35.65740957,139.7848034,5886,78.6,7549.9,18,38.5,48.3,Normal
3/18/2021 11:58,PAI-Vehicle,35.65597991,139.7825396,20184,70.5,6476.7,105,60.5,65.7,Normal
3/18/2021 11:59,PAI-Vehicle,35.65441946,139.7802329,6186,85.8,6234.6,134,38,93.1,Normal
3/18/2021 12:00,PAI-Vehicle,35.65302462,139.7781515,10773,80.3,7380.4,366,71.5,79,Normal
3/18/2021 12:01,PAI-Vehicle,35.65259744,139.7779584,7347,89.9,7388.1,263,61.5,73.8,Normal
3/18/2021 12:02,PAI-Vehicle,35.65110667,139.7794497,7893,80,6299.2,526,32.9,108.3,Normal
3/18/2021 12:03,PAI-Vehicle,35.6487702,139.7814882,7559,82.8,6106.6,602,64.6,78.8,Abnormal
3/18/2021 12:04,PAI-Vehicle,35.64652956,139.7834301,16466,78,7858.4,457,44.2,88.8,Normal
3/18/2021 12:05,PAI-Vehicle,35.64507355,139.7846854,13814,71.2,7110.9,846,52,88.9,Normal
3/18/2021 12:06,PAI-Vehicle,35.64611979,139.7860909,12624,71.3,6819.7,30,37.2,92.7,Normal
3/18/2021 12:07,PAI-Vehicle,35.64689574,139.7852862,10705,77.4,7090.3,72,62.8,68.6,Normal
3/18/2021 12:08,PAI-Vehicle,35.64741013,139.7859192,8442,79.1,6525.5,352,49.5,69,Normal
